Iran(IslamicRepublicof),26,34.7,47.9,58.5,60,60.9,61.8,64.9,66.8,66.8
Iraq,12.8,17.5,21.2,25.2,27.8,29.8,31.8,33.8,35.8,35.8
Ireland,59.6,66.9,72.9,74.8,79.4,80.5,82.6,84.7,86.8,86.8
Israel,66.7,70.1,71.4,72.6,83.1,84,84.4,87,87.3,87.3
Italy,44.1,52.2,59.3,63.5,69.1,70.2,71.2,75.2,79.1,79.1
Jamaica,27.2,39.9,51.1,55.5,59.7,61.5,63.4,65.2,67.1,67.1
Japan,63.4,71.2,77.2,81.6,87,88.5,90,91.5,93,93
Jordan,20.8,31.4,36.8,50.1,69.5,71.7,74,76.2,78.5,78.5
Kazakhstan,59.8,70.4,81.5,94.2,96.9,97.6,98.3,99,99.7,99.7
Kenya,8.4,11.3,15.1,22,25.3,26,26.6,27.2,27.8,27.8
Korea(Republicof),57.6,64.3,69.6,74.1,77.1,80,82.9,85.9,88.8,88.8
Kuwait,41.9,42.6,46.6,46.4,54.7,55.1,55.6,55.8,56.8,56.8
Kyrgyzstan,71.1,79.3,87.3,91.3,96.5,97.4,98.3,99.1,100,100
LaoPeople'semocraticRepublic,6,9.8,14,18.3,22.9,24.8,26.6,28.5,30.4,30.4
Latvia,58.3,74.9,82.9,98,98.6,98.9,98.9,99,99.3,99.3
Lebanon,,,,53,53,53,53,53,53,53
Lesotho,13.4,18.2,23.7,26.8,17.3,18.9,20.4,22,23.6,23.6
Liberia,8.4,10,11.4,13,15.4,15.9,16.3,16.8,17.3,17.3
Libya,17,24.4,34,45.1,55.5,58,60.6,63.1,65.7,65.7
Lithuania,65.4,72.7,80.3,83.7,88.6,89.3,89.1,90.2,91.1,91.1
Luxembourg,46.3,53.2,60.7,68.4,100,100,100,100,100.6,100.6
Malawi,2.8,3.3,4.5,5.7,11.1,12.1,13,14,14.9,14.9
Malaysia,34.7,45.3,49.9,42.9,65.1,67.7,70.2,72.8,75.4,75.4
Maldives,22.9,20.5,17.9,10.7,23.6,26.3,28.9,31.6,34.3,34.3
Mali,1.1,1.4,1.7,2.2,8.1,7.7,7.6,7.5,7.4,7.3
Malta,25,29.4,33.3,58.8,63.4,64.7,68.6,71.1,72.7,72.7
MarshallIslands,,,,,91.6,91.6,91.6,91.6,91.6,91.6
Mauritania,2,3.4,4.9,6.4,8.3,9,9.7,10.4,11.1,11.1
Mauritius,26,32.5,33.3,43.1,49.6,49.4,51.9,54.4,57,57
Mexico,27.8,35.1,37,44.5,51,53.3,55.7,54.8,56.1,56.1
Moldova(Republicof),65.6,71.8,76.5,85.9,92.1,92.6,93.6,94.3,95.2,95.2
Mongolia,67.6,70.7,77.8,81.5,85.3,86.4,87.5,88.6,89.7,89.7
Montenegro,,,74.3,78.8,83.3,84.2,85.1,86,86.9,86.9
Morocco,9.1,11.9,14.9,17.9,20.7,21.9,23.2,24.5,25.7,25.7
Mozambique,0.8,1.1,1.2,1.3,1.4,1.7,2.1,2.4,2.8,2.8
Myanmar,13,15.2,17.2,19.4,22.9,24,25,26.1,27.1,27.1
Namibia,31.5,29.7,26.6,30.1,33.3,34.5,35.7,36.9,38.1,38.1
Nepal,7,8.1,9.5,13.3,17.7,19.3,20.9,22.5,24.1,24.1
Netherlands,74.7,78.6,81.8,86.4,87.1,87.2,87.7,86,86.2,86.2
NewZealand,60.5,63.1,72.1,81,92.6,95,94.7,96.8,98.8,98.8
Nicaragua,16.4,21.8,28.6,33.9,39.4,41,42.6,44.2,45.7,45.7
Niger,0.8,1,1.4,2,2.4,2.7,3,3.3,3.6,3.6
Norway,62.5,69,74.9,96.6,94.5,97.4,96.9,96.5,96.1,96.1
Oman,,,25.1,38.4,51.1,53.2,55.3,57.5,59.8,59.8
Pakistan,6.9,9.8,12.8,19.9,20.7,19.3,24.4,25.2,26.5,26.5
"Palestine,Stateof",,,37.9,40.8,49.1,51,53.9,55.6,56.3,56.3
Panama,45.1,47,48.9,55.7,62.5,64.4,66.3,68.2,70.1,70.1
PapuaNewGuinea,7.2,8.7,7.7,7.1,7.6,7.9,8.2,8.5,8.8,8.8
Paraguay,25.1,25.7,25.2,39.2,32,35.6,39.1,42.7,46.2,46.2
Peru,37.9,42.6,50.7,43.6,53.2,54.1,56.3,57.3,56.2,56.2
Philippines,44.2,46.6,49,65.1,67.5,,,71.1,72.8,72.8
Poland,55.7,60.6,64.9,71.1,77.9,78.8,79.4,80.4,81.1,81.1
Portugal,20.1,21.4,23.9,32.6,41.1,44.9,47.2,48.8,50.8,50.8
Qatar,42.9,49.2,54.5,62.1,44.5,62.7,66.7,69.8,70.9,70.9
